onset,index,event,diameter,diameter_3d,interpolated,orig_idx,diameter_pc,diameter_3dpc,diameter_m,diameter_3dm,reject
23,19023.0,2.5,43.44498484406176,6.002000674803757,0.0,1586263728.3938801,-0.5769684784174619,-0.5411390092729133,-0.2334781749712595,-0.030300254135461335,0.0
24,19024.0,2.5,43.450976705982484,6.002833198359189,0.0,1586263728.402532,-0.5624895009342578,-0.5266470648925362,-0.2274863130505421,-0.029467730580026268,0.0
25,19025.0,2.5,43.45714657372468,6.003685882363954,0.0,1586263728.410877,-0.547289573126688,-0.5115036903170278,-0.22131644530834105,-0.028615046575262874,0.0
26,19026.0,2.5,43.46344670473745,6.004551788840695,0.0,1586263728.4190989,-0.5315172049194964,-0.4958589804385585,-0.2150163142955704,-0.027749140098521828,0.0
27,19027.0,2.5,43.46982574760571,6.005423582667118,0.0,1586263728.4274895,-0.5153330837439662,-0.47987358942668074,-0.2086372714273247,-0.026877346272099093,0.0
28,19028.0,2.5,43.47623035497017,6.006293777654499,0.0,1586263728.4357266,-0.49890475720391403,-0.46371325476894215,-0.20223266406286106,-0.026007151284718748,0.0
29,19029.0,2.5,43.48260689294365,6.007154986824053,0.0,1586263728.4443345,-0.4824009026290199,-0.44754301558457654,-0.19585612608936825,-0.025145942115164032,0.0
30,19030.0,2.5,43.48890306406555,6.00800015030722,0.0,1586263728.4524772,-0.46598578013688535,-0.43152173940585176,-0.1895599549674561,-0.024300778631998303,0.0
31,19031.0,2.5,43.495069312153305,6.008822723099317,0.0,1586263728.4611495,-0.44981438779411587,-0.41579748558739626,-0.18339370687971293,-0.023478205839898243,0.0
32,19032.0,2.5,43.50105995961379,6.009616817306157,0.0,1586263728.4693615,-0.4340285809665641,-0.40050396602268423,-0.17740305941923087,-0.022684111633060205,0.0
33,19033.0,2.5,43.5068341606025,6.01037731325412,0.0,1586263728.477901,-0.4187539437252598,-0.3857578550208655,-0.17162885843051942,-0.02192361568509648,0.0
34,19034.0,2.5,43.51235674528348,6.011099953584828,0.0,1586263728.4866552,-0.4040971104940439,-0.3716565732769838,-0.16610627374952724,-0.02120097535438763,0.0
35,19035.0,2.5,43.51759882508744,6.01178140509859,0.0,1586263728.4947824,-0.3901438006037603,-0.3582767421607528,-0.160864193945586,-0.020519523840627066,0.0
36,19036.0,2.5,43.52253794697606,6.012419260189276,0.0,1586263728.5031242,-0.37695819769386885,-0.34567391401298153,-0.1559250720569705,-0.019881668749942186,0.0
37,19037.0,2.5,43.52715781938423,6.013011981517743,0.0,1586263728.5114937,-0.36458377152788357,-0.33388366528424646,-0.15130519964879632,-0.01928894742147431,0.0
38,19038.0,2.5,43.531447910178464,6.01355883146874,0.0,1586263728.519754,-0.35304479791867244,-0.3229232897994446,-0.14701510885456603,-0.01874209747047697,0.0
39,19039.0,2.5,43.535403264093205,6.014059833333233,0.0,1586263728.5283008,-0.34234754703928766,-0.3127930616521646,-0.1430597549398109,-0.018241095605983762,0.0
40,19040.0,2.5,43.53902469359967,6.014515784263848,0.0,1586263728.536419,-0.3324805878935869,-0.3034765434278307,-0.13943832543334836,-0.017785144675368188,0.0
41,19041.0,2.5,43.54231914464397,6.014928293000609,0.0,1586263728.54512,-0.3234146716687436,-0.294940426182756,-0.13614387438905406,-0.01737263593860751,0.0
42,19042.0,2.5,43.54529977249896,6.015299779412905,0.0,1586263728.5533862,-0.3151034211950238,-0.28713514098225834,-0.13316324653407582,-0.01700114952631197,0.0
43,19043.0,2.5,43.54798538409705,6.015633388331378,0.0,1586263728.5618474,-0.30748569593351377,-0.27999713533848775,-0.1304776349359667,-0.01666754060783845,0.0
44,19044.0,2.5,43.55039929783321,6.015932823987524,0.0,1586263728.570569,-0.30048939559718996,-0.2734526007753569,-0.1280637211998132,-0.01636810495169388,0.0
45,19045.0,2.5,43.55256792234342,6.016202146742531,0.0,1586263728.578819,-0.29403581066621187,-0.26742176239382637,-0.12589509668960552,-0.016098782196683148,0.0
46,19046.0,2.5,43.55451933821669,6.016445572128991,0.0,1586263728.5871384,-0.2880437710763414,-0.2618229705975998,-0.12394368081633735,-0.015855356810227834,0.0
47,19047.0,2.5,43.5562820560122,6.016667297821655,0.0,1586263728.5954366,-0.28243324641279133,-0.256576226557919,-0.12218096302081409,-0.015633631117562472,0.0
48,19048.0,2.5,43.55788400094206,6.016871366583634,0.0,1586263728.6037219,-0.2771283514643109,-0.25160607964279846,-0.12057901809095833,-0.015429562355582727,0.0
49,19049.0,2.5,43.55935168377893,6.017061557575195,0.0,1586263728.612573,-0.27205979542020603,-0.24684395696840586,-0.11911133525409419,-0.015239371364021226,0.0
50,19050.0,2.5,43.56070955845631,6.017241302233236,0.0,1586263728.6205633,-0.2671666188324639,-0.24222981243183853,-0.11775346057670966,-0.015059626705980244,0.0
51,19051.0,2.5,43.561979628745206,6.0174136310148185,0.0,1586263728.6290863,-0.2623969662457355,-0.23771286732867666,-0.11648339028783011,-0.014887297924397897,0.0
52,19052.0,2.5,43.563181275113585,6.017581147187217,0.0,1586263728.6373253,-0.2577080083977897,-0.23325155525185612,-0.11528174391944042,-0.01471978175200106,0.0
53,19053.0,2.5,43.564331161644205,6.017746010485491,0.0,1586263728.6459377,-0.2530655146285476,-0.22881314885784115,-0.11413185738882241,-0.014554918453725578,0.0
