x = temp. degC, y = integration time, z = pixel counts
z(x,y) = p00 + p10*x + p01*y + p20*x^2 + p11*x*y + p30*x^3 + p21*x^2*y
px_num	rmse	p00	p10	p01	p20	p11	p30	p21
84	90.6552	1399.12	24.6398	1.54797e-05	-1.29694	-2.65495e-06	0.0181788	1.14381e-07	
85	83.3388	1405.24	23.2195	1.19789e-05	-1.2157	-2.58945e-06	0.0170024	1.02725e-07	
86	73.3919	1414.65	21.043	9.89596e-06	-1.08744	-2.38746e-06	0.0150073	8.45548e-08	
87	89.8643	1398.4	24.6138	1.43091e-05	-1.29178	-2.69956e-06	0.018063	1.11865e-07	
88	87.7015	1403.83	23.5806	1.4798e-05	-1.23973	-2.56605e-06	0.017364	1.11346e-07	
89	73.051	1411.68	21.0517	1.06274e-05	-1.08521	-2.34371e-06	0.0149774	8.51541e-08	
90	82.5719	1408.34	22.7448	1.34155e-05	-1.1889	-2.47703e-06	0.0165577	1.01549e-07	
91	96.6054	1399.1	24.7652	1.67904e-05	-1.33252	-2.68968e-06	0.0189511	1.27619e-07	
92	86.6841	1404.97	23.0101	1.49888e-05	-1.21989	-2.52227e-06	0.0171642	1.11302e-07	
93	86.9665	1398.89	24.3962	1.36628e-05	-1.26775	-2.64617e-06	0.0176192	1.05541e-07	
94	75.0469	1416.34	20.339	1.2423e-05	-1.06624	-2.23144e-06	0.0148815	9.34039e-08	
95	93.2437	1398.36	24.4359	1.64419e-05	-1.30417	-2.81639e-06	0.0184885	1.28222e-07	
96	81.1491	1409.04	22.2893	1.34866e-05	-1.16538	-2.4333e-06	0.0162327	1.00445e-07	
97	82.012	1409.42	22.071	1.38414e-05	-1.15805	-2.42735e-06	0.0161734	1.03484e-07	
98	79.6855	1409.27	21.9478	1.2738e-05	-1.1506	-2.41256e-06	0.016082	9.96848e-08	
99	84.5443	1405.23	23.0987	1.37505e-05	-1.21365	-2.52139e-06	0.0169837	1.0602e-07	
100	85.3205	1405.07	23.0713	1.41739e-05	-1.21261	-2.53003e-06	0.0169831	1.08386e-07	
101	92.7485	1396.78	24.9671	1.57556e-05	-1.3159	-2.69605e-06	0.0184737	1.1797e-07	
102	78.3704	1408.72	22.1525	1.17989e-05	-1.14733	-2.44755e-06	0.0159067	9.27443e-08	
103	75.7761	1413.42	21.0154	1.1824e-05	-1.09623	-2.31681e-06	0.015263	9.16535e-08	
104	82.1952	1406.21	22.7917	1.31439e-05	-1.18794	-2.48682e-06	0.0165244	1.00938e-07	
105	71.2609	1418.06	20.0412	1.04661e-05	-1.03864	-2.26839e-06	0.0143828	8.46251e-08	
106	75.7334	1410.9	21.7058	1.07186e-05	-1.12056	-2.42684e-06	0.015489	8.82304e-08	
107	92.5185	1400.45	24.6282	1.58686e-05	-1.30507	-2.71909e-06	0.0183784	1.20964e-07	
108	80.266	1408.64	22.1389	1.28133e-05	-1.15596	-2.44217e-06	0.0161217	9.7991e-08	
109	67.2007	1419.86	19.8219	8.07424e-06	-1.01482	-2.29448e-06	0.013943	7.44948e-08	
110	87.073	1403.76	23.4811	1.47976e-05	-1.23631	-2.53174e-06	0.0172354	1.09102e-07	
111	85.064	1409.03	22.5696	1.43592e-05	-1.19459	-2.45987e-06	0.0168181	1.08202e-07	
112	67.6572	1418.18	20.1465	7.35798e-06	-1.02538	-2.34032e-06	0.0140372	7.1698e-08	
113	91.7863	1398.71	24.2455	1.60267e-05	-1.28639	-2.62032e-06	0.0181151	1.19663e-07	
114	92.0198	1397.73	24.3997	1.55017e-05	-1.29503	-2.65701e-06	0.0182804	1.18835e-07	
115	98.5693	1389.55	26.9073	1.61264e-05	-1.40095	-2.84532e-06	0.0194815	1.17387e-07	
116	80.0675	1402.93	23.5467	8.59325e-06	-1.20602	-2.76253e-06	0.0166039	9.20278e-08	
117	91.4343	1396.69	25.2367	1.42748e-05	-1.32384	-2.77403e-06	0.0185228	1.14688e-07	
118	82.2123	1408.32	22.7381	1.26941e-05	-1.18989	-2.50666e-06	0.016594	1.01274e-07	
119	78.0026	1409.47	21.972	1.14883e-05	-1.14259	-2.43721e-06	0.0158861	9.47138e-08	
120	87.1214	1400.97	23.9386	1.32071e-05	-1.25415	-2.65804e-06	0.0175323	1.09853e-07	
121	74.4808	1414.1	20.8331	1.15756e-05	-1.08213	-2.32583e-06	0.0150224	8.97366e-08	
122	82.9657	1406.92	22.7223	1.36094e-05	-1.19238	-2.49203e-06	0.0166489	1.04867e-07	
123	83.3379	1399.75	24.2227	1.1444e-05	-1.24314	-2.72434e-06	0.0171285	9.57379e-08	
124	93.9867	1397.31	24.6842	1.65772e-05	-1.31668	-2.65146e-06	0.0186224	1.24602e-07	
125	79.8616	1495.48	3.05995	-5.18574e-06	-0.209901	-8.62096e-07	0.0029825	1.2071e-08	
126	88.9063	1401.62	24.2913	1.4133e-05	-1.27615	-2.66681e-06	0.017869	1.11958e-07	
127	90.0754	1398.82	24.7622	1.43936e-05	-1.29974	-2.70749e-06	0.0181785	1.13332e-07	
128	87.0967	1406.09	22.9869	1.52741e-05	-1.22096	-2.54752e-06	0.0172078	1.16341e-07	
129	83.7151	1408.08	22.159	1.45198e-05	-1.17222	-2.41997e-06	0.016464	1.07709e-07	
130	82.4706	1406	23.0689	1.22678e-05	-1.20161	-2.5821e-06	0.0167241	9.98006e-08	
131	91.6064	1398.48	24.8045	1.54427e-05	-1.3029	-2.68954e-06	0.0182373	1.14627e-07	
132	78.5472	1408.99	22.2707	1.11097e-05	-1.15602	-2.6271e-06	0.0160573	9.8378e-08	
133	80.0915	1409.36	21.8283	1.28929e-05	-1.14533	-2.38846e-06	0.0160437	9.99853e-08	
134	79.1185	1405.52	23.3365	4.02349e-06	-1.19888	-2.93027e-06	0.0165641	9.33165e-08	
135	89.3115	1402.38	23.6663	1.54855e-05	-1.25389	-2.54999e-06	0.0176494	1.14317e-07	
136	75.1747	1414.98	20.8122	1.13772e-05	-1.08889	-2.34097e-06	0.0151907	9.44637e-08	
137	81.2223	1416.5	20.7136	1.42622e-05	-1.11079	-2.41337e-06	0.0157403	1.11632e-07	
138	87.7345	1402.79	23.4608	1.49838e-05	-1.23863	-2.52528e-06	0.0173997	1.1143e-07	
139	83.8112	1408.31	22.3777	1.45695e-05	-1.18033	-2.42047e-06	0.0165382	1.07899e-07	
140	96.2015	1392.41	26.2037	1.54485e-05	-1.37885	-2.87085e-06	0.0193461	1.21764e-07	
141	82.9502	1403.21	23.0203	1.27311e-05	-1.20214	-2.53507e-06	0.0167697	1.03376e-07	
142	75.1235	1415.83	20.6901	1.21709e-05	-1.08371	-2.27727e-06	0.0151354	9.2974e-08	
143	80.6111	1408.63	22.2009	1.29234e-05	-1.16063	-2.43069e-06	0.0161783	9.90928e-08	
144	88.8603	1402.97	23.4552	1.42506e-05	-1.21645	-2.67106e-06	0.0168631	1.07424e-07	
145	71.074	1418.75	19.4726	1.17005e-05	-1.01279	-2.15955e-06	0.0140674	8.68346e-08	
146	75.3079	1413.39	21.0621	1.17353e-05	-1.09731	-2.32537e-06	0.0152862	9.20096e-08	
147	89.182	1397.67	25.1003	1.40626e-05	-1.30661	-2.72138e-06	0.0181717	1.08537e-07	
148	82.3838	1407.25	22.4473	1.27673e-05	-1.17923	-2.48926e-06	0.0164938	1.03727e-07	
149	83.8987	1406.39	23.0514	1.38864e-05	-1.2072	-2.48635e-06	0.0168383	1.04714e-07	
150	78.4924	1408.93	21.9186	1.21865e-05	-1.13617	-2.43085e-06	0.0157499	9.40726e-08	
151	74.8666	1411.09	21.6027	1.04169e-05	-1.10878	-2.38478e-06	0.0152801	8.39228e-08	
152	93.6081	1395.72	25.1982	1.58086e-05	-1.32996	-2.72804e-06	0.0186691	1.19874e-07	
153	76.9872	1413.57	20.911	1.27487e-05	-1.10077	-2.29579e-06	0.0154251	9.77099e-08	
154	82.2955	1407.68	22.8443	1.32687e-05	-1.19323	-2.49475e-06	0.0166208	9.99082e-08	
155	86.0522	1404.76	23.1334	1.49023e-05	-1.21914	-2.46662e-06	0.0171025	1.0935e-07	
156	62.0383	1421.51	19.1824	2.39269e-06	-0.971847	-2.40015e-06	0.0132907	6.49131e-08	
157	87.6623	1404.93	23.4896	1.46336e-05	-1.24137	-2.56423e-06	0.0174482	1.11861e-07	
158	78.1268	1414.01	21.2472	1.21454e-05	-1.11949	-2.36118e-06	0.0157405	9.66107e-08	
159	86.2632	1405.42	23.0646	1.48464e-05	-1.21699	-2.49771e-06	0.017073	1.10193e-07	
160	91.2595	1397.13	24.9186	1.47139e-05	-1.31193	-2.71645e-06	0.0184035	1.16529e-07	
161	78.9467	1410.05	21.9608	1.20088e-05	-1.14228	-2.45174e-06	0.0158734	9.59434e-08	
162	76.5372	1408.94	22.0956	1.03979e-05	-1.14015	-2.50095e-06	0.0157743	9.02529e-08	
163	78.0509	1411.91	21.6274	1.23212e-05	-1.13106	-2.39019e-06	0.0157527	9.60787e-08	
164	94.1473	1396.57	25.1679	1.60663e-05	-1.33683	-2.71416e-06	0.0188171	1.21406e-07	
165	90.567	1400.69	24.528	1.4752e-05	-1.29587	-2.69207e-06	0.018222	1.14589e-07	
166	94.1682	1396.72	25.1003	1.6419e-05	-1.33287	-2.73298e-06	0.0188194	1.22884e-07	
167	78.9255	1411	21.6803	1.26261e-05	-1.13413	-2.4e-06	0.0158207	9.70866e-08	
168	77.5533	1411.51	21.5879	1.22357e-05	-1.12494	-2.38968e-06	0.0156475	9.36192e-08	
169	84.6435	1406.3	22.7331	1.39631e-05	-1.19704	-2.50711e-06	0.0167844	1.06242e-07	
170	82.9389	1407.94	22.1755	1.41627e-05	-1.16874	-2.40991e-06	0.0163851	1.04569e-07	
171	85.7912	1402.82	23.4191	1.41966e-05	-1.22824	-2.52913e-06	0.017166	1.07172e-07	
172	87.6639	1398.7	24.6351	1.31505e-05	-1.28291	-2.722e-06	0.0178564	1.08112e-07	
173	93.6109	1396.57	25.6347	1.54054e-05	-1.35312	-2.77055e-06	0.0188995	1.19182e-07	
174	102.168	1389.94	26.9197	1.66725e-05	-1.4355	-2.93224e-06	0.0203488	1.33473e-07	
175	77.188	1410.32	21.9042	1.04164e-05	-1.13284	-2.42915e-06	0.0157141	8.99643e-08	
176	88.2006	1404.61	23.4815	1.49276e-05	-1.23885	-2.5888e-06	0.0173594	1.1269e-07	
177	91.9205	1394.66	25.702	1.35939e-05	-1.34432	-2.83869e-06	0.0187665	1.14714e-07	
178	60.0274	1426.36	18.0517	-8.29901e-07	-0.91736	-2.23951e-06	0.0125462	5.52272e-08	
179	62.1384	1426.3	18.0257	8.12047e-06	-0.926557	-2.10378e-06	0.0127814	7.11238e-08	
180	88.5786	1403.81	23.6668	1.45321e-05	-1.25356	-2.60281e-06	0.0176752	1.13605e-07	
181	86.8331	1403.23	23.4957	1.45625e-05	-1.2406	-2.49462e-06	0.0174176	1.07511e-07	
182	79.6569	1404.71	23.1635	9.91459e-06	-1.19219	-2.63553e-06	0.016465	9.2384e-08	
183	79.9071	1407	22.9117	9.80291e-06	-1.1862	-2.59621e-06	0.016443	9.45094e-08	
184	86.6959	1404.13	23.2317	1.44406e-05	-1.22962	-2.5444e-06	0.0173021	1.11477e-07	
185	50.0567	1440.06	15.1096	4.14852e-06	-0.769071	-1.91102e-06	0.010509	5.18227e-08	
186	82.9368	1401.67	23.6497	1.25899e-05	-1.21862	-2.56537e-06	0.0168247	9.57077e-08	
187	90.242	1397.82	24.5212	1.44108e-05	-1.29073	-2.70361e-06	0.0181144	1.14425e-07	
188	93.8427	1394.8	25.1572	1.60621e-05	-1.33034	-2.68741e-06	0.0187177	1.20299e-07	
189	82.7577	1403.49	23.5624	1.19702e-05	-1.22273	-2.63628e-06	0.0169738	1.00636e-07	
190	79.3636	1411.26	22.2846	1.16626e-05	-1.1575	-2.49546e-06	0.016056	9.44875e-08	
191	92.5341	1405.58	23.2726	1.57476e-05	-1.23737	-2.56114e-06	0.0174696	1.17434e-07	
192	88.0199	1404.64	23.5024	1.48835e-05	-1.23997	-2.53978e-06	0.017399	1.12089e-07	
193	80.3231	1409.64	21.9645	1.30545e-05	-1.14862	-2.42441e-06	0.0160145	9.93199e-08	
194	63.7305	1423.52	18.8727	7.07192e-06	-0.963156	-2.20116e-06	0.0131872	6.95207e-08	
195	86.1194	1408.25	22.8236	1.46092e-05	-1.21334	-2.49586e-06	0.0171215	1.11145e-07	
196	83.1665	1408.12	22.2268	1.41415e-05	-1.1744	-2.42228e-06	0.016501	1.06469e-07	
197	80.2246	1411.32	22.075	1.22437e-05	-1.15558	-2.46232e-06	0.0161304	9.96437e-08	
198	76.053	1410.18	21.438	1.14701e-05	-1.11019	-2.36568e-06	0.0154055	9.075e-08	
199	81.5231	1404.33	23.0981	1.09919e-05	-1.19472	-2.58359e-06	0.0165532	9.59e-08	
200	88.0593	1404.87	23.4141	1.51714e-05	-1.24248	-2.53854e-06	0.0174805	1.13671e-07	
201	78.5282	1407.58	22.1433	1.0898e-05	-1.14965	-2.47816e-06	0.0159693	9.55767e-08	
202	83.9493	1405.48	22.8445	1.38475e-05	-1.19961	-2.50091e-06	0.0168052	1.05776e-07	
203	102.142	1394.35	25.984	1.76132e-05	-1.39891	-2.81944e-06	0.0199576	1.34562e-07	
204	91.9934	1398.4	24.7563	1.50797e-05	-1.30655	-2.69471e-06	0.0183535	1.17346e-07	
205	83.5594	1406.88	23.0292	1.26197e-05	-1.20526	-2.53851e-06	0.0168133	1.03896e-07	
206	87.2848	1401.34	23.6961	1.44692e-05	-1.24542	-2.58614e-06	0.017466	1.10066e-07	
207	82.9762	1407.54	22.2687	1.41061e-05	-1.17351	-2.42645e-06	0.0164438	1.05653e-07	
208	89.9798	1403.45	23.6049	1.57245e-05	-1.25936	-2.57123e-06	0.0178314	1.18166e-07	
209	74.42	1412.27	21.2516	9.66521e-06	-1.10005	-2.43222e-06	0.0152527	8.79861e-08	
