led,intensity,S,M,L,Rods,Mel
4,650,2.818876679005918e-07,2.5744506622806e-06,1.954270240448306e-06,3.2047383543943464e-06,2.7998051672782843e-06
4,715,3.396085498857679e-07,2.956649156966326e-06,2.2396385893193092e-06,3.7122867849964215e-06,3.261937424356476e-06
4,780,3.5482532036513094e-07,3.0623691331404443e-06,2.3177651556464746e-06,3.853550229611533e-06,3.3909083164248803e-06
4,845,3.9725775699411054e-07,3.322018970487265e-06,2.511450044077487e-06,4.202211219505599e-06,3.710903835668105e-06
4,910,4.3065431657511e-07,3.51531587788411e-06,2.657186882751685e-06,4.4594563418481995e-06,3.946211483265291e-06
4,975,4.579318533896656e-07,3.7016575537902213e-06,2.794543427238846e-06,4.710208006385931e-06,4.176128602455293e-06
4,1040,4.896909435365457e-07,3.907993037144493e-06,2.9468737642952196e-06,4.988235266125046e-06,4.431940174274026e-06
4,1105,5.214737944193436e-07,4.080853394879369e-06,3.076885861391779e-06,5.220978028088602e-06,4.646161139236579e-06
4,1170,5.691934204101701e-07,4.385150550093476e-06,3.3020801495726205e-06,5.630022916294957e-06,5.021971680565928e-06
4,1235,5.761775751207659e-07,4.432640944203356e-06,3.3375839271236544e-06,5.692739799912159e-06,5.079418595774723e-06
4,1300,6.299163456398903e-07,4.732813482335978e-06,3.5609630840840466e-06,6.101906361383335e-06,5.458081474153588e-06
4,1365,6.425747716620004e-07,4.806617467054593e-06,3.6162502430372686e-06,6.1990436012127505e-06,5.546866796809329e-06
4,1430,6.828212995087927e-07,5.058335729699517e-06,3.8017724044628176e-06,6.541129093650627e-06,5.8630007513273125e-06
4,1495,6.984195394426283e-07,5.1677007279028265e-06,3.882484137439913e-06,6.686112006253167e-06,5.99520469480196e-06
4,1560,7.481699506547515e-07,5.440188241341482e-06,4.085765628036174e-06,7.056332178308156e-06,6.337835836083536e-06
4,1625,7.803431540024883e-07,5.606893250968182e-06,4.211206905626059e-06,7.282378560380543e-06,6.547231999913251e-06
4,1690,8.095617030929183e-07,5.793052433747938e-06,4.348993513195594e-06,7.532170284664519e-06,6.776756931656273e-06
4,1755,8.412839728084772e-07,5.985354726565303e-06,4.491136572397299e-06,7.79145832999466e-06,7.015696256379612e-06
