uW,onset,pupil,valid,pupil_pc
1,0.7709999999999999,3.6252000000000004,1.0,-37.02609062165018
1,0.8049999999999999,3.6060000000000003,1.0,-37.364321794274346
1,0.8380000000000001,3.582,1.0,-37.783319940932536
1,0.8720000000000001,3.5686,1.0,-38.01711515125716
1,0.905,3.561,1.0,-38.14512405869623
1,0.9390000000000001,3.5544,1.0,-38.259171395477004
1,0.972,3.564,1.0,-38.08745821511202
1,1.005,3.567,1.0,-38.03400430209465
1,1.0390000000000001,3.5914,1.0,-37.60027772817582
1,1.072,3.6073999999999997,1.0,-37.32528459184499
1,1.1059999999999999,3.63,1.0,-36.92542682771766
1,1.1389999999999998,3.651,1.0,-36.55860441681316
1,1.1720000000000002,3.6764,1.0,-36.11131893704645
1,1.206,3.7085999999999997,1.0,-35.55006086990722
1,1.2389999999999999,3.755,1.0,-34.74384462819869
1,1.2730000000000001,3.7838000000000003,1.0,-34.24426879354655
1,1.306,3.8326000000000002,1.0,-33.39620214190137
1,1.3399999999999999,3.8763999999999994,1.0,-32.630465552924555
1,1.3730000000000002,3.908,1.0,-32.087849927004555
1,1.4060000000000001,3.9468000000000005,1.0,-31.416365515653286
1,1.44,4.0054,1.0,-30.400724328871764
1,1.4729999999999999,4.053,1.0,-29.57231720815692
1,1.5070000000000001,4.114800000000001,1.0,-28.49753299555719
1,1.54,4.165,1.0,-27.625710266800276
1,1.5739999999999998,4.21,1.0,-26.841388005201754
1,1.6070000000000002,4.2612000000000005,1.0,-25.95231575889113
1,1.6400000000000001,4.312,1.0,-25.06433397993856
1,1.674,4.3584000000000005,1.0,-24.255516647119844
1,1.7069999999999999,4.4154,1.0,-23.261793596849454
1,1.741,4.4488,1.0,-22.6910390141722
1,1.774,4.4932,1.0,-21.911562939231725
1,1.807,4.5318,1.0,-21.239499377846187
1,1.8410000000000002,4.578,1.0,-20.43368088361035
1,1.874,4.6188,1.0,-19.717052801055093
1,1.908,4.648000000000001,1.0,-19.21566120307657
1,1.9409999999999998,4.687399999999999,1.0,-18.527166662900566
1,1.975,4.7042,1.0,-18.239879335145083
1,2.008,4.7379999999999995,1.0,-17.648912534160818
1,2.041,4.764,1.0,-17.1931161972564
1,2.075,4.7846,1.0,-16.839254174759688
1,2.108,4.8034,1.0,-16.50541326631229
1,2.142,4.83,1.0,-16.04964936427408
1,2.175,4.8536,1.0,-15.637613738088305
1,2.209,4.8862000000000005,1.0,-15.072766112787003
1,2.242,4.889,1.0,-15.020780248825897
1,2.275,4.919,1.0,-14.502286045825832
1,2.309,4.923,1.0,-14.425986188407677
1,2.342,4.941,1.0,-14.11667930975717
1,2.376,4.964799999999999,1.0,-13.705990470011983
1,2.409,4.9766,1.0,-13.498485491185837
1,2.443,4.994,1.0,-13.201805644233568
1,2.476,5.0112000000000005,1.0,-12.898253769831348
1,2.509,5.0123999999999995,1.0,-12.879866090450852
1,2.543,5.0262,1.0,-12.633505595348137
1,2.576,5.0396,1.0,-12.403793462018978
1,2.61,5.0542,1.0,-12.1560487323016
1,2.643,5.0802,1.0,-11.694556429033852
1,2.676,5.1008000000000004,1.0,-11.336273156555
1,2.71,5.0962000000000005,1.0,-11.41700737324776
1,2.743,5.1052,1.0,-11.262502745097866
1,2.777,5.1082,1.0,-11.209866754272914
1,2.81,5.133,1.0,-10.785953473614805
1,2.844,5.136,1.0,-10.733657324285328
1,2.877,5.1418,1.0,-10.62943769532752
1,2.91,5.1372,1.0,-10.712183843861112
1,2.944,5.1526,1.0,-10.446616381168148
1,2.977,5.164,1.0,-10.25256224281005
1,3.011,5.1806,1.0,-9.974551267904015
1,3.0439999999999996,5.1866,1.0,-9.869127479808133
1,3.0780000000000003,5.1876,1.0,-9.85096646968872
1,3.1109999999999998,5.1722,1.0,-10.11819683560055
1,3.144,5.182,1.0,-9.940001197198228
1,3.178,5.204,1.0,-9.57489931521926
1,3.2110000000000003,5.212,1.0,-9.437164757989436
1,3.245,5.2136,1.0,-9.397265675333614
1,3.2779999999999996,5.224600000000001,1.0,-9.208875144318034
1,3.311,5.2387999999999995,1.0,-8.970708025441358
1,3.3449999999999998,5.233,1.0,-9.061312524704952
1,3.378,5.228,1.0,-9.147236571211035
1,3.412,5.2478,1.0,-8.803854003697143
1,3.4450000000000003,5.2582,1.0,-8.619445713520019
1,3.479,5.267,1.0,-8.476125510379637
1,3.5119999999999996,5.3002,1.0,-7.898088588481416
1,3.545,5.2824,1.0,-8.205407514799825
1,3.5789999999999997,5.304399999999999,1.0,-7.824071696035917
1,3.612,5.3188,1.0,-7.570252877855649
1,3.646,5.3208,1.0,-7.533743137080988
1,3.6790000000000003,5.322,1.0,-7.510994558088299
1,3.713,5.3406,1.0,-7.192327709879055
1,3.7460000000000004,5.349200000000001,1.0,-7.031502852605874
1,3.779,5.3568,1.0,-6.898345229369392
1,3.8129999999999997,5.3472,1.0,-7.068956052897816
1,3.846,5.3586,1.0,-6.871304255498801
1,3.88,5.3522,1.0,-6.982426734174076
1,3.9130000000000003,5.3526,1.0,-6.971596631816075
1,3.947,5.3804,1.0,-6.484452441339921
1,3.9800000000000004,5.3648,1.0,-6.756270382308722
1,4.013,5.3772,1.0,-6.541755201776461
