board_temp,micro_temp,integration_time,model,led,intensity
33.35533524,60.88379669,576000,STS,7,3445
33.35533524,60.88379669,1536000,STS,4,1235
33.35533524,60.88379669,32768000,STS,9,65
33.35533524,61.08154297,448000,STS,7,4095
33.35533524,60.88379669,1536000,STS,5,1625
33.35533524,60.88379669,896000,STS,2,3120
33.35533524,60.88379669,1792000,STS,4,975
33.35533524,60.88379669,1280000,STS,0,2600
33.35533524,60.88379669,2304000,STS,2,1040
33.35533524,60.88379669,1536000,STS,8,1300
33.35533524,61.08154297,12288000,STS,7,325
33.35533524,61.08154297,1280000,STS,5,2145
33.35533524,60.88379669,640000,STS,4,3900
33.35533524,60.68603516,1280000,STS,0,2340
33.35533524,61.08154297,65536000,STS,3,65
33.35533524,61.08154297,1152000,STS,2,2470
33.35533524,61.08154297,1280000,STS,5,2210
33.35533524,61.08154297,320000,STS,9,4030
33.35533524,60.88379669,1280000,STS,7,1625
33.35533524,60.88379669,768000,STS,8,2795
33.35533524,61.08154297,85000000,STS,7,0
33.35533524,60.88379669,1152000,STS,1,2405
33.35533524,60.88379669,1280000,STS,1,2080
33.35533524,60.88379669,1792000,STS,8,910
33.35533524,60.88379669,1280000,STS,2,2015
33.35533524,61.08154297,3072000,STS,7,780
33.35533524,61.08154297,18432000,STS,1,130
33.35533524,61.08154297,1024000,STS,5,2665
33.35533524,61.08154297,896000,STS,8,2210
33.35533524,61.08154297,1152000,STS,6,2275
33.35533524,61.08154297,2048000,STS,5,1105
33.35533524,61.27929688,1536000,STS,0,2145
33.35533524,61.08154297,8192000,STS,7,390
33.35533524,60.88379669,640000,STS,4,3965
33.35533524,60.88379669,5120000,STS,4,325
33.35533524,60.88379669,640000,STS,8,4030
33.35533524,60.88379669,896000,STS,0,4095
33.35533524,60.88379669,1792000,STS,5,1495
33.35533524,61.08154297,2048000,STS,8,845
33.35533524,61.08154297,1408000,STS,3,2405
33.35533524,60.88379669,3072000,STS,8,520
33.35533524,61.08154297,1280000,STS,6,2210
33.35533524,60.88379669,2816000,STS,0,1040
33.35533524,60.88379669,640000,STS,4,3770
33.35533524,61.08154297,896000,STS,6,2925
33.35533524,60.88379669,896000,STS,3,3965
33.35533524,61.08154297,640000,STS,7,3120
33.35533524,60.88379669,640000,STS,8,3770
33.35533524,61.08154297,640000,STS,8,3575
33.35533524,61.08154297,85000000,STS,5,0
33.35533524,60.88379669,5632000,STS,7,520
33.35533524,61.08154297,1024000,STS,6,2600
33.35533524,61.08154297,2816000,STS,6,975
33.35533524,60.88379669,12288000,STS,9,130
33.35533524,60.88379669,2560000,STS,4,585
33.47213745,60.88379669,1280000,STS,6,1950
33.35533524,61.08154297,896000,STS,7,2080
33.35533524,60.88379669,2560000,STS,2,975
33.47213745,60.88379669,1792000,STS,2,1365
33.35533524,60.88379669,1024000,STS,5,2990
33.47213745,61.08154297,3584000,STS,3,715
33.47213745,60.88379669,1152000,STS,0,2860
33.47213745,60.88379669,2048000,STS,3,1625
33.47213745,61.08154297,1280000,STS,3,2665
33.47213745,61.08154297,896000,STS,7,2145
33.47213745,60.88379669,896000,STS,4,2730
33.47213745,61.08154297,2304000,STS,0,1365
33.47213745,61.08154297,768000,STS,4,3055
33.47213745,61.08154297,1152000,STS,6,2405
33.47213745,61.08154297,1280000,STS,4,1625
33.47213745,60.88379669,896000,STS,2,3250
33.47213745,61.08154297,1280000,STS,3,2795
33.47213745,61.27929688,1024000,STS,8,2015
33.47213745,61.08154297,512000,STS,7,3575
33.47213745,61.08154297,20480000,STS,2,130
33.47213745,60.88379669,1024000,STS,0,3120
33.47213745,60.88379669,1024000,STS,7,1885
33.47213745,60.88379669,704000,STS,1,4030
33.47213745,60.88379669,640000,STS,6,3965
33.47213745,60.88379669,1280000,STS,1,2145
33.47213745,61.27929688,1152000,STS,2,2600
33.47213745,61.08154297,768000,STS,4,3380
33.47213745,60.88379669,768000,STS,5,4030
33.47213745,61.27929688,896000,STS,9,1300
