,0
541,589.2932786
542,589.7675141
543,590.2417828
544,590.7160847
545,591.1904199
546,591.6647883
547,592.13919
548,592.6136249
549,593.0880931
550,593.5625945
551,594.0371292
552,594.5116971
553,594.9862982
554,595.4609327
555,595.9356003
556,596.4103012
557,596.8850353
558,597.3598027
559,597.8346034
560,598.3094373
561,598.7843044
562,599.2592048
563,599.7341384
564,600.2091053
565,600.6841054
566,601.1591387
567,601.6342054
568,602.1093052
569,602.5844383
570,603.0596047
571,603.5348043
572,604.0100371
573,604.4853032
574,604.9606025
575,605.4359351
576,605.911301
577,606.3867
578,606.8621324
579,607.3375979
580,607.8130968
581,608.2886288
582,608.7641941
583,609.2397927
584,609.7154245
585,610.1910895
586,610.6667878
587,611.1425194
588,611.6182842
589,612.0940822
590,612.5699135
591,613.045778
592,613.5216758
593,613.9976068
594,614.4735711
595,614.9495686
596,615.4255994
597,615.9016634
598,616.3777607
599,616.8538912
600,617.3300549
601,617.8062519
602,618.2824822
603,618.7587457
604,619.2350424
605,619.7113724
606,620.1877356
607,620.6641321
608,621.1405618
609,621.6170248
610,622.093521
611,622.5700505
612,623.0466132
613,623.5232091
614,623.9998384
615,624.4765008
616,624.9531965
617,625.4299254
618,625.9066876
619,626.3834831
620,626.8603118
621,627.3371737
622,627.8140689
623,628.2909973
624,628.767959
625,629.2449539
626,629.7219821
627,630.1990435
628,630.6761381
629,631.153266
630,631.6304272
631,632.1076216
632,632.5848492
633,633.0621101
634,633.5394043
635,634.0167316
636,634.4940923
637,634.9714862
638,635.4489133
639,635.9263737
640,636.4038673
641,636.8813941
642,637.3589543
643,637.8365476
644,638.3141742
645,638.7918341
646,639.2695272
647,639.7472535
648,640.2250131
649,640.7028059
650,641.180632
651,641.6584914
652,642.1363839
653,642.6143098
654,643.0922688
655,643.5702612
656,644.0482867
657,644.5263455
658,645.0044376
659,645.4825629
660,645.9607215
661,646.4389133
662,646.9171383
663,647.3953966
664,647.8736881
665,648.3520129
666,648.830371
667,649.3087622
668,649.7871868
669,650.2656445
670,650.7441355
671,651.2226598
672,651.7012173
673,652.1798081
674,652.6584321
675,653.1370893
676,653.6157798
677,654.0945036
678,654.5732606
679,655.0520508
680,655.5308743
681,656.009731
682,656.488621
683,656.9675442
684,657.4465007
685,657.9254904
686,658.4045134
687,658.8835696
688,659.3626591
689,659.8417818
690,660.3209377
691,660.8001269
692,661.2793494
693,661.7586051
694,662.237894
695,662.7172162
696,663.1965716
697,663.6759603
698,664.1553822
699,664.6348374
700,665.1143258
701,665.5938475
702,666.0734024
703,666.5529906
704,667.032612
705,667.5122666
706,667.9919545
707,668.4716757
708,668.9514301
709,669.4312177
710,669.9110386
711,670.3908927
712,670.8707801
713,671.3507007
714,671.8306546
715,672.3106417
716,672.7906621
717,673.2707157
718,673.7508026
719,674.2309227
720,674.711076
721,675.1912626
722,675.6714825
723,676.1517356
724,676.6320219
725,677.1123415
726,677.5926943
727,678.0730804
728,678.5534997
729,679.0339523
730,679.5144381
731,679.9949572
732,680.4755095
733,680.9560951
734,681.4367139
735,681.9173659
736,682.3980512
737,682.8787698
738,683.3595216
739,683.8403066
740,684.3211249
741,684.8019764
742,685.2828612
743,685.7637792
744,686.2447305
745,686.725715
746,687.2067328
747,687.6877838
748,688.1688681
749,688.6499856
750,689.1311363
751,689.6123203
752,690.0935376
753,690.5747881
754,691.0560718
755,691.5373888
756,692.018739
757,692.5001225
758,692.9815392
759,693.4629892
760,693.9444724
761,694.4259889
762,694.9075386
763,695.3891216
764,695.8707378
765,696.3523872
766,696.8340699
767,697.3157859
768,697.7975351
769,698.2793175
770,698.7611332
771,699.2429821
772,699.7248643
773,700.2067797
774,700.6887284
775,701.1707103
776,701.6527255
777,702.1347739
778,702.6168556
779,703.0989705
780,703.5811186
