rmv,LEDs_temp,drivers_temp,board_temp,micro_temp,integration_time,input_power,dimming_level,led,intensity
0.032178883,26.74,26.27,29.03,33.96,591,4219,100,8,3640
0.024217306,25.68,26.15,29.07,33.96,741,5368,100,2,2925
0.025929943,25.72,26.27,29.22,34.26,1239,3517,100,9,1820
0.035072178,25.44,26.11,29.22,34.26,533,4292,100,1,3055
0.006137643,25.12,25.88,29.26,34.26,824,2823,100,5,910
0.026979057,25.56,25.8,29.22,34.55,739,14327,100,7,2990
0.010650421,28.16,26.15,29.25,34.26,796,2261,100,9,715
7.21E-05,25.32,26.03,29.22,34.26,2443,1356,100,6,65
7.09E-05,24.16,25.52,28.96,33.96,14993,1297,100,0,0
0.006067669,24.16,25.24,28.73,33.67,780,2444,100,3,845
0.014823728,24.6,25.28,28.84,33.38,777,6532,100,5,2730
0.000597849,25.76,25.32,28.81,33.67,1560,1362,100,1,65
0.036916848,24.24,25.28,28.73,33.67,26,4685,100,9,2730
0.034126006,25.04,25.28,28.58,33.67,780,4271,100,9,2340
0.021769121,24.84,25.28,28.73,34.26,806,3122,100,1,1755
0.019714128,24.28,25.32,28.66,33.96,810,2851,100,1,1625
0.034144647,24.4,25.32,28.62,33.96,487,4009,100,0,2795
0.010600314,24.48,25.64,28.43,32.79,753,3345,100,3,1495
0.014347447,25.12,25.44,28.92,33.67,773,3599,100,2,1625
0.011717074,24.6,25.36,28.84,34.26,782,2281,100,8,1105
0.023031509,25.72,25.36,28.69,33.96,744,17460,100,6,3965
0.031568728,30.13,25.4,28.84,33.96,586,3967,100,1,2730
0.031313576,25.44,25.6,28.62,33.38,587,3937,100,1,2665
0.016689943,25.16,25.52,28.88,34.26,816,7409,100,5,3185
0.048362788,26.51,25.56,28.73,33.67,669,5976,100,9,3705
0.005414205,26,25.4,28.88,34.55,811,2296,100,3,715
0.011734521,24.92,25.56,28.88,34.26,782,2412,100,9,845
0.026427248,24.8,25.64,28.77,33.96,638,9324,100,4,3965
0.04800766,26.04,25.48,28.92,34.26,721,5634,100,9,3445
0.046073038,26.07,25.56,28.77,33.96,722,5428,100,9,3315
0.025801249,25.76,25.6,28.88,33.67,690,8774,100,4,3835
0.01957711,26.04,25.6,28.84,33.96,813,2912,100,1,1560
0.022929566,24.88,25.64,29.07,33.67,752,3240,100,1,1885
0.004241605,24.84,25.52,28.92,33.96,806,1650,100,9,260
0.015667401,24.6,25.56,29.07,33.38,772,6946,100,5,2925
0.041247606,26.23,25.64,28.99,33.96,427,4846,100,1,3640
0.017308116,25.16,25.56,29.07,34.26,778,2695,100,0,1300
0.043874193,24.92,25.56,28.99,34.26,723,5269,100,9,3120
0.009382215,25.44,25.72,29.03,33.67,777,2656,100,2,910
0.00062779,24.72,25.72,29.03,34.26,1346,1375,100,3,130
0.036903303,24.36,25.68,28.84,33.96,36,4097,100,0,2860
0.037919752,25,25.68,28.92,33.96,529,20490,100,7,4095
0.033236623,28.72,25.68,28.96,33.96,535,4108,100,1,2860
0.032805458,24.84,25.64,28.92,34.26,642,4212,100,8,3575
0.010434653,24.64,25.6,28.88,34.26,809,2129,100,8,910
0.017211521,24.52,25.64,28.96,34.26,781,2846,100,8,1820
0.019598493,25.84,25.6,28.77,33.67,800,14847,100,6,3445
0.035599526,29.36,25.64,28.92,33.96,485,4115,100,0,2925
0.024437893,25.88,25.64,29.14,33.67,839,6637,100,3,4030
0.020891251,27.16,25.8,28.88,33.67,747,4832,100,2,2535
0.007090659,25.36,25.8,29.22,34.26,786,2616,100,4,780
0.006480732,25,25.72,29.03,33.67,809,3054,100,5,975
0.004663992,25.36,25.84,28.96,34.26,797,4292,100,6,845
0.00780845,25.72,25.68,29.07,33.67,799,1914,100,9,455
0.009486445,24.76,25.88,28.99,33.96,783,3279,100,4,1105
0.020335088,24.92,25.76,29.22,34.55,774,2981,100,8,2015
0.008091883,24.76,25.8,29.22,34.26,763,2006,100,1,585
0.014061168,25.44,25.84,28.88,33.96,770,10933,100,6,2470
0.017511068,28.23,25.8,29.11,34.26,763,7807,100,5,3380
0.031839602,26.97,25.68,28.99,34.26,1032,4146,100,9,2210
0.019348452,25.72,25.88,29.07,33.96,755,8735,100,5,3835
0.0306047,27.01,25.8,29.22,34.55,645,3968,100,8,3315
0.027422627,25.52,25.88,29.18,34.55,738,14557,100,7,3055
0.036652006,28.31,26.27,29.25,33.38,481,4423,100,1,3185
0.008446481,26,26.15,29.29,34.55,763,6907,100,6,1495
2.53E-05,26.93,26.15,29.25,34.84,2263,1320,100,4,0
7.67E-06,24.2,25.4,28.88,33.96,49,3352,100,1,2015
0.013130537,24.48,25.6,28.77,33.96,791,4336,100,4,1625
0.008810012,24.84,25.68,28.77,33.38,824,2997,100,3,1235
0.012354817,25.12,25.68,28.96,33.38,776,2464,100,9,910
0.011032544,24.68,25.48,28.81,33.96,763,3737,100,4,1300
0.03374764,24.76,25.48,28.88,34.55,590,4269,100,8,3770
0.017355867,24.88,25.52,28.92,33.67,815,7587,100,5,3250
0.031669758,26.31,25.44,28.96,34.26,541,3776,100,0,2535
0.021958124,24.92,25.68,28.92,33.96,765,3156,100,8,2275
0.009160474,24.92,25.56,28.99,33.67,804,5263,100,7,1105
0.020838205,26,25.52,28.81,33.38,699,5701,100,3,3250
0.023261443,26.66,25.64,28.96,33.67,745,12497,100,7,2600
0.033017777,27.43,25.72,28.96,33.96,488,3953,100,0,2730
0.018476928,25.32,25.84,28.96,34.26,755,4283,100,2,2145
0.043852679,25.24,25.8,28.99,33.96,379,4781,100,0,3640
0.009807426,25.24,25.8,28.99,34.26,847,2111,100,1,650
0.015457779,24.96,25.76,28.99,34.26,774,6828,100,5,2860
0.014074652,26.31,25.88,28.88,33.96,785,4617,100,4,1755
0.008162462,25.44,25.88,29.07,34.55,782,1969,100,1,520
0.004885566,24.72,25.76,29.14,34.26,861,1679,100,8,390
0.006270858,24.6,25.84,29.11,34.26,823,1852,100,8,520
0.041635111,24.68,25.8,28.92,33.67,430,4507,100,0,3445
0.010284347,24.92,25.76,29.22,33.67,803,2102,100,0,650
0.030561931,25,25.64,29.03,33.96,684,16347,100,7,3445
0.004826005,29.13,26.35,29.07,33.96,857,1666,100,1,260
0.025003415,25.2,26.15,29.11,34.55,641,8504,100,4,3705
0.007567171,26.39,26.03,29.22,34.26,775,3410,100,5,1170
0.053030644,25.84,26.03,29.11,34.26,619,6154,100,9,3835
0.042275827,26.07,26.03,29.07,34.55,427,4926,100,1,3705
0.03266697,25.52,25.8,29.07,33.67,731,4144,100,9,2275
0.016922973,25.68,26.15,29.11,33.67,768,5550,100,4,2210
0.013685039,25.68,25.99,29.22,33.67,824,7494,100,7,1560
0.003798984,26.7,26.19,29.22,34.55,963,1868,100,4,390
